     1→  7555→Task ID: AUDIT-LEGAL-COMPLIANCE-001
    18→  7572→- Tax: `src/lib/i18n/tax.ts` computes IVA correctly per country (CO 19%, MX 16%, BR 17%, PE 18%, CL 19%, AR 21%, US Sales Tax). No retefuente / reteica / impuesto al consumo calculations. No DIAN integration (electronic invoicing — mandatory since 2019 for Colombia). No régimen tributario selection (simplificado vs común). No PDF generation.
    19→  7573→- Privacy policy + terms of service: ZERO legal pages — no `/privacy`, `/terms`, `/legal` directories in `src/app/`. No public privacy policy URL (required by Ley 1581 Art 10 — right to be informed about data processing). No terms of service (required for B2B SaaS). No cookie policy. Storefront footer (`/t/[slug]/page.tsx`) renders empty `<footer>`. Login footer (`/login/page.tsx`) has only `© 2025 ZIAY · ZIAY SAS` — no links to legal documents.
    20→  7574→
    21→  7575→Stage Summary:
    22→  7576→
    23→  7577→## COMPLIANCE SCORECARD
    24→  7578→
    25→  7579→| # | Dimension | Score (0–10) | Status | Top gap |
    26→  7580→|---|-----------|-------------|--------|---------|
    27→  7581→| 1 | PCI DSS (card data handling) | 8/10 | ✅ Strong | No SAQ-A self-assessment documented. Hosted checkout + tokenization = SAQ-A scope. Credential storage not tenant-scoped (carried from V5 security gap). |
    28→  7582→| 2 | GDPR (EU users) | 2/10 | ❌ Not ready | No cookie banner, no DPA, no EU DSR portal, no SCCs. Existing `/api/compliance/dsr` is a starting point but lacks 1-month SLA + data-subject self-service. |
    29→  7583→| 3 | CCPA / CPRA (California) | N/A | ⏸ Not yet applicable | No US operations yet. DSR endpoint could be extended to CCPA with minor changes — no "Do Not Sell" link scaffolding. |
    30→  7584→| 4 | Ley 1480/2011 (consumer protection) | 4/10 | ⚠️ Partial | No derecho al retracto (5-day cooling-off), no PQR ticketing, no SLA on complaints. "IVA incluido" not surfaced in storefront. |
    31→  7585→| 5 | Habeas Data (Ley 1266/2008 — financial) | 5/10 | ⚠️ Minimal | No credit bureau integration. KYC `riskScore` field never sourced from regulated provider (V1 self-verify bypass). |
    32→  7586→| 6 | E-commerce (Decreto 745/2014) | 3/10 | ❌ Missing | `/api/monetization/generate-invoice` creates a commission invoice, NOT a DIAN factura electrónica. No QR, no e-signature, no DIAN integration. No PDF. |
    33→  7587→| 7 | Data retention policy | 1/10 | ❌ Critical | No retention policy, no automated deletion, no cron cleanup. PII retained forever in violation of Ley 1581 Art 11. |
    34→  7588→| 8 | Cross-border data transfer | 3/10 | ❌ Gap | WhatsApp Cloud API + Stripe + Meta CAPI inherently transfer PII to US servers. No adequacy decision, no SCCs, no explicit cross-border consent documented. |
    35→  7589→| 9 | Minors' data protection | 1/10 | ❌ Critical | Zero age verification, zero parental consent flow. Ley 1098/2006 Art 17 entirely unaddressed. |
    36→  7590→| 10 | Marketing consent (WhatsApp opt-in) | 2/10 | ❌ Critical | ConsentRecord model exists but `/api/remarketing` does NOT check consent before sending. No WhatsApp opt-in flow (Meta Cloud API policy violation). No unsubscribe keyword. |
    37→  7591→| 11 | Tax compliance (IVA/retefuente/reteica) | 4/10 | ⚠️ Partial | IVA calculation correct per country. No retefuente / reteica / impuesto al consumo. No DIAN electronic invoicing. No régimen tributario handling. |
    38→  7592→| 12 | Privacy policy + Terms of service | 0/10 | ❌ Missing | ZERO legal pages. No `/privacy`, `/terms`, `/legal` routes. Storefront footer empty. Required by Ley 1581 Art 10. |
    39→  7593→
    40→  7594→**Weighted average: 3.0/10** — PCI handling is sound (tokenization + hosted checkout), but the platform is materially non-compliant on consumer protection, retention, minors, marketing consent, and (critically) has no public privacy policy or terms of service — a hard blocker for any B2B contract.
    41→  7595→
    42→  7596→## CRITICAL COMPLIANCE GAPS
    43→  7597→
    44→  7598→### P0 — Hard blockers for production launch
    45→  7599→
    46→  7600→**P0-1 — No privacy policy, no terms of service (Ley 1581 Art 10)**
    47→  7601→`src/app/` has ZERO routes under `/privacy`, `/terms`, `/legal`. Storefront footer (`src/app/t/[slug]/page.tsx`) renders an empty `<footer>` element. Login footer has only `© 2025 ZIAY · ZIAY SAS` with no links. Ley 1581 Art 10 requires that data subjects be informed about: (a) the data being collected, (b) the purpose, (c) the legal basis, (d) the retention period, (e) the rights they have, (f) how to exercise them. None of this is publicly available. This is also a hard blocker for any B2B SaaS contract (no enforceable ToS).
    48→  7602→
    49→  7603→**Fix:** Create `src/app/privacy/page.tsx`, `src/app/terms/page.tsx`, `src/app/legal/page.tsx` (or `cookies/page.tsx`). Content drafted by Colombian counsel (ZIAY SAS is the operating entity per `src/app/layout.tsx:legalName`). Link from login footer + storefront footer + dashboard sidebar. Estimated: 1 day (legal review + i18n + footer wiring).
    50→  7604→
    51→  7605→**P0-2 — No data retention policy (Ley 1581 Art 11)**
    52→  7606→Zero references to `retention|purge|delete.after`. No cron job, no `deleteMany({ where: { createdAt: { lt: now - X days } } })` pattern anywhere in src/. The platform retains forever: messages (PII textual), audit logs, customer profiles, abandoned carts, expired consent records, expired KYC verifications. Ley 1581 Art 11 mandates deletion when the data is no longer necessary for the purpose for which it was collected.
    53→  7607→
    54→  7608→**Fix:** Define a retention matrix per data type (e.g. messages → 24 months, audit logs → 5 years for tax law, abandoned carts → 90 days, expired consents → 6 months after revocation, expired KYC → 12 months). Implement a daily cron (BullMQ recurring job — the queue infra exists per `src/lib/queue.ts`) that calls `db.<model>.deleteMany({ where: { createdAt: { lt: ... } } })`. Estimated: 2 days (policy + cron + tests).
    55→  7609→
    56→  7610→**P0-3 — Marketing messages sent without consent enforcement (Meta Cloud API policy + Ley 1581)**
    57→  7611→`src/app/api/remarketing/route.ts` accepts `customerPhone` + `template` + `trigger` (abandoned_cart | no_response | post_purchase) and schedules WhatsApp messages via `enqueue('capi-fire', ...)` without ANY check of `db.consentRecord` for purpose='marketing' granted=true. This is a direct violation of: (a) Meta Cloud API policy — marketing templates require explicit opt-in outside the 24h customer-service window; (b) Ley 1581 Art 10 — processing PII for marketing without legal basis (consent or legitimate interest, both tracked in ConsentRecord but not enforced).
    58→  7612→
    59→  7613→**Fix:** Before scheduling any remarketing message, query `db.consentRecord.findFirst({ where: { dataSubjectId: customer.id, purpose: 'marketing', granted: true } })`. If no record or revoked → skip + log. Add WhatsApp opt-in keyword flow ("accept SMS marketing? reply SI" → create consent record). Add unsubscribe keyword handling ("STOP", "BAJA", "DESCANCELAR"). Estimated: 1 day.
    60→  7614→
    61→  7615→**P0-4 — No minors' data protection (Código de la Infancia y Adolescencia Ley 1098/2006)**
    62→  7616→Zero references to age verification or parental consent. WhatsApp storefront accepts orders from any phone number. Ley 1098 Art 17 grants minors enhanced PII protection; processing minors' data without parental consent is a violation. Also a COPPA exposure if US expansion happens.
    63→  7617→
    64→  7618→**Fix:** Add an age gate at checkout (UCP checkout state machine already supports `requires_escalation` — extend it with an `age_verification` escalation). For now, a declarative checkbox "Confirmo que soy mayor de edad" on the storefront + a `isMinor` flag on Customer (set when age is later inferred from KYC) with hard opt-out of marketing. Estimated: 1 day.
    65→  7619→
    66→  7620→### P1 — Address before scaling beyond pilot
    67→  7621→
    68→  7622→**P1-1 — No DIAN electronic invoicing (Decreto 358/2020, mandatory since 2019)**
    69→  7623→`src/app/api/monetization/generate-invoice/route.ts` produces a JSON commission invoice (estado: 'borrador') — NOT a valid factura electrónica for Colombian tax purposes. No DIAN registration, no numerical range, no QR code, no electronic signature, no PDF representation. Both ZIAY's own invoices to tenants AND tenant invoices to end-customers are non-compliant.
    70→  7624→
    71→  7625→**Fix:** Integrate a DIAN-authorized provider (Alegra, Siigo, Bsale) OR build direct DIAN SOAP/REST integration. Store `dianInvoiceNumber`, `dianCUNE`, `dianQrUrl`, `dianSignedXml` on Invoice + a new CustomerInvoice model. Estimated: 2 weeks.
    72→  7626→
    73→  7627→**P1-2 — No derecho al retracto flow (Ley 1480 Art 47)**
    74→  7628→The 5-business-day cooling-off period for online sales is mandated by Art 47 of the Estatuto del Consumidor. ZIAY's `/api/acp/v1/refunds` allows refunds but does not enforce or surface the retracto right — customers must explicitly know to ask. The `sales_retainer` agent actively tries to prevent cancellations.
    75→  7629→
    76→  7630→**Fix:** Auto-display retracto notice on storefront post-purchase + add a `retracto_window_until` field on Order (createdAt + 5 business days). Allow self-service retracto via WhatsApp keyword ("RETRACTO") within the window. Estimated: 1 day.
    77→  7631→
    78→  7632→**P1-3 — Cross-border PII transfer not documented (Ley 1581 Art 26)**
    79→  7633→WhatsApp Cloud API, Meta CAPI, Stripe, MercadoPago, Wompi, PayU all transfer PII (phone numbers, message content, order data, customer names) to servers outside Colombia (mostly US). Ley 1581 Art 26 prohibits cross-border transfer to countries without adequate protection (Colombia has no adequacy decision for the US) unless: (a) explicit user consent, (b) SCCs, (c) binding corporate rules, (d) specific authorization from SIC. None of these are in place.
    80→  7634→
    81→  7635→**Fix:** Add a "Data transfer disclosure" section to the privacy policy listing each processor (Meta, Stripe, MP, Wompi, PayU, Google Ads, TikTok Ads) + country + legal basis (SCCs or user consent). Execute DPAs with each provider (most have standard online DPAs — Stripe, Meta, Google all do). Capture explicit consent on first WhatsApp interaction. Estimated: 1 week (legal + technical).
    82→  7636→
    83→  7637→**P1-4 — No GDPR readiness for EU expansion**
    84→  7638→Currently 0/10 on GDPR. If ZIAY targets EU users (tenant merchants in Spain, Germany — plausible LATAM → Iberia expansion): need cookie banner, DSR portal with 1-month SLA, DPIA for AI processing of PII, EU representative appointment, SCCs for all data out of EU.
    85→  7639→
    86→  7640→**Fix:** Not blocking for CO-only launch, but the DSR endpoint + consent model + audit-log signing already provide 60% of the foundation. Estimated: 2 weeks if EU expansion is on the roadmap.
    87→  7641→
    88→  7642→### P2 — Quality / hardening
    89→  7643→
    90→  7644→- **P2-1** — `calculateTax` in `src/lib/i18n/tax.ts` is correct for IVA but does not compute retefuente (2.5% for higher-value B2B) / reteica (0.4–1.7% per municipality) / impuesto al consumo (8% for restaurants). Add these as optional fields on TaxBreakdown for Colombian B2B transactions. ~4h.
    91→  7645→- **P2-2** — `/api/compliance/dsr` portability returns raw JSON from Prisma `findFirst({ include: {...} })`. Should be a flat, documented schema (CSV or JSON-LD) — not Prisma's nested shape. ~4h.
    92→  7646→- **P2-3** — KYC `riskScore` field is collected but never persisted with a regulated provider's signature. The existing V1 self-verify bypass (prior audit) makes the KYC evidence legally weak — fix V1 first. ~1 day.
    93→  7647→- **P2-4** — Storefront (`/t/[slug]`) does not display "IVA incluido" / "Prices include tax" — Art 11 Ley 1480 requires clear pricing. ~2h.
    94→  7648→- **P2-5** — No cookie banner. Currently only NextAuth sets a session cookie (strictly necessary) so this is technically exempt, but if any analytics/CAPI pixels fire client-side, the banner becomes mandatory under ePrivacy Directive (EU) and Ley 1581. ~4h.
    95→  7649→- **P2-6** — Login footer lacks legal links (privacy/terms/cookies). Add nav row above the © line. ~30 min.
    96→  7650→
    97→  7651→## HEALTH METRICS
    98→  7652→
    99→  7653→| Metric | Value | Status |
   100→  7654→|--------|-------|--------|
   101→  7655→| Raw PAN storage | 0 occurrences | ✅ Compliant (SAQ-A) |
   102→  7656→| Tokenization pattern (sha256 of token) | 1 site (`payment-token-exchange`) | ✅ Compliant |
   103→  7657→| Hosted-checkout gateways (Stripe/MP/Wompi/PayU) | 4/4 | ✅ SAQ-A scope |
   104→  7658→| Webhook signature verification | 4/4 gateways + 4 channel webhooks | ✅ Compliant |
   105→  7659→| HSTS enforced | Yes (31536000s; includeSubDomains) | ✅ Compliant |
   106→  7660→| Public privacy policy route | 0 (`/privacy`, `/terms`, `/legal` all missing) | ❌ Hard blocker |
   107→  7661→| DSR endpoint (access/erasure/portability) | 1 (`/api/compliance/dsr`) | ⚠️ Exists for CO, not GDPR-grade |
   108→  7662→| Consent record enforcement in marketing flows | 0/1 (`/api/remarketing` ignores ConsentRecord) | ❌ Critical |
   109→  7663→| Data retention cron jobs | 0 | ❌ Critical |
   110→  7664→| Age verification flow | 0 | ❌ Critical |
   111→  7665→| DIAN electronic invoicing integration | 0 | ❌ Missing |
   112→  7666→| Cross-border transfer DPAs | 0 documented | ❌ Gap |
   113→  7667→| Cookie banner | 0 | ⚠️ Exempt today, mandatory if client-side pixels added |
   114→  7668→| Tax calculation coverage | IVA only (no retefuente/reteica/consumo) | ⚠️ Partial |
   115→  7669→| Legal entity disclosed | "ZIAY SAS" (`layout.tsx:legalName`) | ✅ Disclosed but not in legal pages |
   116→  7670→
   117→  7671→## RECOMMENDED NEXT SPRINT (legal-compliance, ~2 weeks)
   118→  7672→
   119→  7673→**Week 1 — P0 fixes (blockers):**
   120→  7674→1. Draft + ship privacy policy + terms of service + cookies policy under `/privacy`, `/terms`, `/legal`. Wire links from login footer, storefront footer, dashboard sidebar. (P0-1, 1 day)
   121→  7675→2. Implement retention matrix + daily cron for messages/abandoned-carts/expired-consents/expired-KYC. (P0-2, 2 days)
   122→  7676→3. Wire ConsentRecord check into `/api/remarketing` + add WhatsApp opt-in keyword flow + unsubscribe ("STOP"/"BAJA"). (P0-3, 1 day)
   123→  7677→4. Add age-gate checkbox on storefront + `isMinor` flag on Customer + hard opt-out of marketing for minors. (P0-4, 1 day)
   124→  7678→
   125→  7679→**Week 2 — P1 fixes (scaling):**
   126→  7680→5. Integrate DIAN-authorized invoicing provider (Alegra recommended) — replace `/api/monetization/generate-invoice` with real factura electrónica. (P1-1, 1 week)
   127→  7681→6. Implement derecho al retracto: `retracto_window_until` field + WhatsApp keyword "RETRACTO" + storefront notice. (P1-2, 1 day)
   128→  7682→7. Draft cross-border data transfer addendum to privacy policy + execute DPAs with Meta/Stripe/MP/Wompi/PayU. (P1-3, 1 week — mostly legal review)
   129→  7683→
   130→  7684→**Carry-over from prior audits (dependency):**
   131→  7685→- Fix V1 (KYC self-verify bypass) — needed before P2-3 risk score trustworthiness.
   132→  7686→- Fix V5 (cross-tenant credentials) — needed before DPAs with payment processors (otherwise ZIAY misrepresents its security posture to Stripe/MP).
   133→  7687→
   134→  7688→
   135→  7689→---
   136→  7690→Task ID: AUDIT-AI-AGENTS-001
   137→  7691→Agent: senior-ai-engineer (LLM applications specialist)
   138→  7692→Task: Audit AI agent system quality — prompts, eval, guardrails, fallbacks (READ-ONLY)
   139→  7693→
   140→  7694→Work Log:
   141→  7695→- Read worklog tail (8 prior sprints confirmed; AUDIT-FINAL-ARCH-001 already inventoried `lib/agents/prompts/` = 28 files = 26 agents + index + types).
   142→  7696→- Verified agent inventory: `ls src/lib/agents/prompts/*.ts | grep -v 'index.ts\|types.ts' | wc -l` → **26 agent files** (matches SPRINT3-REFACTOR-001 claim). Builder count via `rg -c "^export async function build"` → 27 (includes the router `buildAgentPrompt` in `index.ts`).
   143→  7697→- Read 7 representative prompts end-to-end: `profile`, `catalog`, `quote`, `vision`, `novedades`, `address_analysis`, `sales_retainer`, `customer_score`, `affiliator`, `traffic_orchestrator`, `checkout`, `objection`. All written in Spanish; all inject tenant catalog/objection/customer/shipment/carrier/campaign data via DB lookups inside the builder (regla de oro §2 honored).
   144→  7698→- Read LLM adapter (`src/lib/llm/adapter.ts`): 4 providers defined (zai / openai / xai / ollama) with `LLMChatResult.usage` parsing. Resolution chain: explicit name → `LLM_PROVIDER` env → `'zai'`. **No fallback/retry/failover logic** in adapter.
   145→  7699→- Read all 3 agent call sites: `/api/agents/[agentName]/route.ts`, `/api/orchestrate/route.ts`, `/api/ai-reply/route.ts`. **All 3 bypass the LLM adapter** — they call `ZAI.create()` directly and hard-code `confidence: 0.9` on success, `0.3` on fallback.
   146→  7700→- Read DecisionLog schema (`prisma/schema.prisma:1530-1559`): has `input`, `output`, `reasoning`, `confidence`, `enforcementResult`, `liabilityParty`, `humanReviewed`/`humanDecision`/`humanReviewerId`/`humanReviewedAt`. **No `model`/`provider`/`promptTokens`/`completionTokens`/`totalTokens`/`cost`/`latencyMs` fields**.
   147→  7701→- Read governance routes (`/api/governance/escalations`, `/api/governance/decisions`). Confirmed `escalations` is for UCP checkout session state (`requires_escalation`), NOT for low-confidence agent decisions — the two systems are disconnected.
   148→  7702→- Grep confirmations:
   149→  7703→  - `moderation|safety|toxic|harmful|content.filter|prompt.*injection|jailbreak` in `src/lib/` → 0 matches (only unrelated "safety" hits in tiktok-ads + idempotency comments).
   150→  7704→  - `sanitiz|escape.*input|clean.*input` in `src/lib/` → 0 matches.
   151→  7705→  - `zod|safeParse|JSON.parse|validate.*output` in `src/lib/agents/` → 0 matches.
   152→  7706→  - `fallback|retry|failover` in `src/lib/llm/` → 0 matches.
   153→  7707→  - `escalat|human.*review|handoff|confidence.*threshold` in `src/lib/agents/` → 0 matches.
   154→  7708→  - `logger|log\.|latency|duration` in `src/lib/agents/` → 0 matches (no logger in the agent prompt layer).
   155→  7709→  - `es-CO|es-MX|pt-BR|en-US|locale|language|i18n` in `src/lib/agents/` → 0 matches (no explicit language enforcement).
   156→  7710→  - `ignore.*previous|jailbreak|injection` in `src/lib/agents/` → 0 matches (no anti-injection system-prompt defense).
   157→  7711→  - `context.*window|maxContext|truncate.*history|lastN.*messages|recent.*messages` in `src/lib/agents/` → 0 matches. Only `messages: { take: 12 }` in `/api/ai-reply` — fixed 12-message window with NO summarization / NO token budget.
   158→  7712→  - `AbortController|AbortSignal|timeout.*LLM` in agent call sites → 0 matches (no LLM call timeouts).
   159→  7713→  - Test files: `Glob '**/*.test.ts'` → 9 unit tests + 4 e2e specs. **0 test files reference `buildAgentPrompt`, `FALLBACKS`, `zai.*chat`, `LLMProvider`, or any agent name**. Zero eval / golden / benchmark / A-B test infrastructure.
   160→  7714→- **Critical bug found**: all 3 LLM call sites send the system prompt with `role: 'assistant'` instead of `role: 'system'`:
   161→  7715→  ```ts
   162→  7716→  messages: [
   163→  7717→    { role: 'assistant', content: system },   // ❌ should be 'system'
   164→  7718→    { role: 'user', content: user },
   165→  7719→  ]
   166→  7720→  ```
   167→  7721→  This weakens prompt adherence — the model treats instructions as a previous assistant reply rather than authoritative system context. The LLM adapter (`adapter.ts:82-84`) correctly supports `opts.system` and would prepend a proper `{ role: 'system' }` message, but the routes bypass the adapter.
   168→  7722→- **PII leak surface**: `novedades.ts:38` inlines `shipment.order.customer.phone`, `customer.address`, `customer.city` into the prompt text. Same for `redelivery.ts`, `address.ts`, `address_analysis.ts`. PII flows to the LLM provider (ZAI by default, but tenant-proveedorIa is documented but never resolved at the call site — every call goes to ZAI regardless of `tenant.proveedorIa`).
   169→  7723→- **Confidence is fictional**: route writes `confidence: 0.9` on every success regardless of LLM output, and `0.3` on every caught error. The hard-coded 0.9 is persisted to DecisionLog.confidence and surfaced to the governance UI, but it never reflects actual model uncertainty (and ZAI's reasoning is disabled via `thinking: { type: 'disabled' }`). No agent ever escalates to a human reviewer automatically.
   170→  7724→- **`token usage` is parsed by adapter but never persisted**: `LLMChatResult.usage` is structured correctly for all 4 providers, but because the routes bypass the adapter, `usage` is dropped. The `channel-cost.service.ts:234` estimates `aiTokenCost = ordersCount * 0.02` — a flat heuristic, not real usage. Cost telemetry is fictional.
   171→  7725→
   172→  7726→Stage Summary:
   173→  7727→
   174→  7728→## AI AGENT QUALITY SCORECARD
   175→  7729→
   176→  7730→| # | Dimension | Score (0-10) | Status | Top gap |
   177→  7731→|---|-----------|-------------|--------|---------|
   178→  7732→| 1 | Prompt quality (26 agents) | 7/10 | ⚠️ Good but uneven | All in Spanish, tenant-grounded, output format specified per agent. But system prompts are sent as `role: 'assistant'` (should be `role: 'system'`) — weakens adherence. No max-length cap, no JSON schema validation hints. |
   179→  7733→| 2 | LLM provider config | 4/10 | ❌ Bypassed | Adapter defines 4 providers + provider-resolution chain, but all 3 call sites bypass it and call `ZAI.create()` directly. `tenant.proveedorIa` is documented but never resolved at runtime. No multi-tenant provider routing. |
   180→  7734→| 3 | Token / cost management | 2/10 | ❌ Critical gap | Adapter parses `usage` correctly, but routes drop it. DecisionLog has NO token/cost/model/provider fields. `aiTokenCost` in `channel-cost.service.ts` is a flat $0.02×orders heuristic. Per-agent budgets, quotas, and per-tenant cost ceilings do not exist. |
   181→  7735→| 4 | Output validation | 2/10 | ❌ Critical gap | 0 `zod` schemas, 0 `safeParse`, 0 JSON validators on agent outputs. Only the `vision` agent does a fragile `reply.match(/\{[\s\S]*\}/)` + bare `JSON.parse` inside a try/catch that swallows malformed JSON silently. 11 agents request strict JSON but none validate it. |
   182→  7736→| 5 | Guardrails / safety | 3/10 | ❌ Weak | Per-agent guardrails are good ("Nunca inventes", "Nunca descuento agresivo sin autorización"). But NO content moderation, NO PII redaction before LLM call, NO toxicity filter. Customer phone/address/PII flows raw into prompts (novedades, redelivery, address, address_analysis). |
   183→  7737→| 6 | Agent evaluation / testing | 0/10 | ❌ Absent | 0 test files reference any agent builder, the LLM adapter, the FALLBACKS table, or any agent name. 0 golden test cases. 0 eval harness. 0 A/B / variant infrastructure. 0 prompt regression tests. |
   184→  7738→| 7 | Context window management | 2/10 | ❌ Critical gap | No `truncate`, no `summarize`, no `maxContext`, no `lastN messages`. Only `/api/ai-reply` does `messages: { take: 12 }` — a fixed 12-message window with NO token budget. Orchestrate route runs 9 agents sequentially with NO shared context (each agent gets fresh `buildCtx` — no conversation memory between steps). |
   185→  7739→| 8 | Hallucination prevention | 7/10 | ⚠️ Strong on paper | Every agent has a "Nunca inventes / No inventes datos" instruction. Tenant data (catalog, objections, shipments, carriers) is fetched from DB and injected into the user message — strong grounding. BUT no post-hoc verification: the model's quote/vision/score output is trusted without checking the SKU actually exists in the returned catalog. |
   186→  7740→| 9 | Human-in-the-loop | 2/10 | ❌ Critical gap | DecisionLog has `humanReviewed`/`humanDecision` fields and a PATCH endpoint exists. BUT confidence is hard-coded (0.9 success / 0.3 fallback), so NO threshold-based auto-escalation ever fires. The `governance/escalations` route is for UCP checkout state, NOT for low-confidence agent decisions. Two disconnected systems. |
   187→  7741→| 10 | Agent observability | 4/10 | ⚠️ Partial | DecisionLog persists input/output/confidence/error per call (best-effort, non-blocking). Structured logger exists in routes (`getLogger('api:agents/[agentName]')`). BUT no latency tracking, no token usage, no model name, no provider name, no prompt-length telemetry. No trace correlation between orchestrate pipeline steps. |
   188→  7742→| 11 | Prompt injection / jailbreak defense | 1/10 | ❌ Critical gap | 0 anti-injection system-prompt instructions (`ignore.*previous`, `jailbreak`, `injection` all return 0 matches). 0 input sanitization. `ctx.message` from the customer flows raw into the user prompt with NO escaping — classic prompt-injection vector. The `role: 'assistant'` bug (item #1) further weakens the system-prompt boundary. |
   189→  7743→| 12 | Multi-language support | 2/10 | ❌ Hardcoded Spanish | All prompts are written in Spanish (assumed LATAM market). 0 explicit "respond in Spanish" instructions. 0 `locale` / `i18n` / `language` parameter. If a Brazilian customer writes in Portuguese or a US customer in English, the LLM will likely mirror their language — no enforcement. The `marketplace` and `affiliator` agents are Colombia-specific (COP, "Saramantha §") with no localization hooks. |
   190→  7744→
   191→  7745→**OVERALL: 3.5/10** — The agent system has solid prompt-engineering *intent* (Spanish, tenant-grounded, guardrailed, with fallbacks and DecisionLog persistence), but the *execution* is missing the operational backbone that production LLM systems require: no eval, no output validation, no token/cost telemetry, no human-in-the-loop escalation, no prompt-injection defense, no multi-language enforcement, and a `role: 'assistant'` bug that weakens every system prompt. The LLM adapter abstraction exists but is bypassed by every call site.
   192→  7746→
   193→  7747→## CRITICAL AI GAPS
   194→  7748→
   195→  7749→### P0 — Must fix before any production traffic
   196→  7750→
   197→  7751→**P0-1 — System prompt sent as `role: 'assistant'` instead of `role: 'system'`** (`src/app/api/agents/[agentName]/route.ts:94-97`, `src/app/api/orchestrate/route.ts:59-62`, `src/app/api/ai-reply/route.ts:83-86`)
   198→  7752→All 3 LLM call sites construct messages as `[{ role: 'assistant', content: system }, { role: 'user', content: user }]`. The ZAI SDK (and OpenAI-compatible APIs) treat `role: 'assistant'` as a *previous model reply* — instructions there are advisory, not authoritative. This weakens guardrail adherence ("Nunca inventes…"), makes the system prompt trivially overridable by user-message content, and is the foundational enabler for prompt-injection attacks. **Fix**: route the system prompt through the adapter's `opts.system` field (which correctly prepends `{ role: 'system', content }`), OR change the literal to `role: 'system'`. Even better — adopt the adapter everywhere instead of `ZAI.create()` directly.
   199→  7753→
